epoch,accuracy,loss,val_accuracy,val_loss
0,0.35095489025115967,1.3329906463623047,0.5677233338356018,1.2276191711425781
1,0.7893717288970947,0.7932093143463135,0.7348703145980835,0.7057410478591919
2,0.8895654678344727,0.3566996455192566,0.7665706276893616,0.6325833797454834
3,0.9238859415054321,0.2355237454175949,0.7723342776298523,0.6476514935493469
4,0.9407694339752197,0.17782488465309143,0.789625346660614,0.6808123588562012
5,0.9562690258026123,0.14059540629386902,0.7752161622047424,0.7483659386634827
6,0.9629117250442505,0.11799447238445282,0.7838616967201233,0.8067678213119507
7,0.9687240719795227,0.10003630816936493,0.7723342776298523,0.8419843912124634
8,0.9723221659660339,0.08588574826717377,0.7665706276893616,0.8918842077255249
9,0.973429262638092,0.0773448720574379,0.7665706276893616,0.9725214242935181
10,0.9753667116165161,0.06989312171936035,0.7492795586585999,0.9956633448600769
11,0.9773041605949402,0.06522412598133087,0.7579250931739807,1.0287456512451172
12,0.975643515586853,0.06307604908943176,0.7608069181442261,1.0704399347305298
13,0.9800719618797302,0.05666126310825348,0.7665706276893616,1.1142058372497559
14,0.9781345129013062,0.055891744792461395,0.7665706276893616,1.0979437828063965
15,0.9795184135437012,0.05377978831529617,0.7665706276893616,1.1517138481140137
16,0.9795184135437012,0.05175161361694336,0.7521613836288452,1.1567339897155762
17,0.9797951579093933,0.04997910559177399,0.7608069181442261,1.186470627784729
18,0.9784113168716431,0.04904571548104286,0.7463976740837097,1.2072972059249878
19,0.9789648652076721,0.04667249694466591,0.7608069181442261,1.2371019124984741
20,0.9784113168716431,0.05014171823859215,0.7550432085990906,1.2344934940338135
21,0.9800719618797302,0.04482771083712578,0.7608069181442261,1.2673640251159668
22,0.9797951579093933,0.04513129964470863,0.7723342776298523,1.2973047494888306
23,0.9803487658500671,0.042422063648700714,0.7636887431144714,1.317240834236145
24,0.9797951579093933,0.04006827995181084,0.7579250931739807,1.3206359148025513
